,vacance_name,salary_min,salary_max,salary_curr,href,source
54,Инженер по АСУТП,51000.0,,₽,https://www.superjob.ru/vakansii/inzhener-po-asutp-41394370.html,http://www.acdamate.com
55,Инженер отдела АСУ (начинающий специалист),55000.0,,₽,https://www.superjob.ru/vakansii/inzhener-otdela-asu-44770423.html,http://www.art-recruting.ru
56,Инженер АСУТП,103500.0,,₽,https://www.superjob.ru/vakansii/inzhener-asutp-45588078.html,https://rabota.nmaus.ru
57,Инженер-проектировщик систем автоматизации и слаботочных систем,,80000.0,₽,https://www.superjob.ru/vakansii/inzhener-proektirovschik-sistem-avtomatizacii-i-slabotochnyh-sistem-45045183.html,http://sirius14.spb.ru
58,Инженер в области АСУТП и Машинного зрения,100000.0,,₽,https://www.superjob.ru/vakansii/inzhener-v-oblasti-asutp-i-mashinnogo-zreniya-34375309.html,http://www.nordcomp.ru
59,Инженер-программист АСУТП,68000.0,,₽,https://www.superjob.ru/vakansii/inzhener-programmist-asutp-30871519.html,http://www.pharmasyntez.com
60,Инженер по автоматизации,65000.0,,₽,https://www.superjob.ru/vakansii/inzhener-po-avtomatizacii-45672752.html,http://www.interselt.ru
61,Инженер АСУ ТП / КИПа,70000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asu-tp-45254348.html,http://www.scma.ru
62,Ведущий инженер АСУ ТП,,,,https://www.superjob.ru/vakansii/veduschij-inzhener-asu-tp-45620907.html,http://yatec.ru
63,Инженер АСУТП,100000.0,110000.0,₽,https://www.superjob.ru/vakansii/inzhener-asutp-45720642.html,http://green-effect.ru
64,Инженер АСУТП (1 категории),33000.0,,₽,https://www.superjob.ru/vakansii/inzhener-asutp-45640042.html,http://www.tplusgroup.ru
