,vacance_name,salary_min,salary_max,salary_curr,href,source
48,Senior data scientist,,,,https://hh.ru/vacancy/75619237?from=vacancy_search_list&query=Data+scientist,
49,Аналитик данных / Data Scientist (Middle),140000.0,200000.0,руб.,https://hh.ru/vacancy/73052704?from=vacancy_search_list&query=Data+scientist,http://www.drom.ru
50,Программист C++ (Data scientist),,,,https://hh.ru/vacancy/76225469?from=vacancy_search_list&query=Data+scientist,http://www.pkavt.ru
51,"Data scientist, Цены и анализ конкурентов, Матчинг",,,,https://hh.ru/vacancy/76845266?from=vacancy_search_list&query=Data+scientist,
52,"Data scientist (junior/middle), команда разработки портфельных моделей",,,,https://hh.ru/vacancy/73577736?from=vacancy_search_list&query=Data+scientist,
53,Data Scientist Lead в команду online-оценка коммерческой недвижимости,,,,https://hh.ru/vacancy/77151542?from=vacancy_search_list&query=Data+scientist,
54,Senior Data Scientist,,,,https://hh.ru/vacancy/77074394?from=vacancy_search_list&query=Data+scientist,
55,Спикер на курс «Data Engineer»,,,,https://hh.ru/vacancy/77235198?from=vacancy_search_list&query=Data+scientist,http://www.skillbox.ru
56,Data Scientist / Machine Learning Engineer,,,,https://hh.ru/vacancy/75881375?from=vacancy_search_list&query=Data+scientist,
57,Middle Data scientist / Аналитик (Нижний Новгород),100000.0,150000.0,руб.,https://hh.ru/vacancy/75827761?from=vacancy_search_list&query=Data+scientist,http://zaymigo.com
58,Data Scientist,160000.0,180000.0,руб.,https://hh.ru/vacancy/76446137?from=vacancy_search_list&query=Data+scientist,https://cyberphysics.xyz
59,Senior Data Scientist (-Fintech-),,250000.0,руб.,https://hh.ru/vacancy/76822951?from=vacancy_search_list&query=Data+scientist,http://www.netex24.net
60,Data scientist,,,,https://hh.ru/vacancy/76602551?from=vacancy_search_list&query=Data+scientist,
61,Data scientist (RecSys),,,,https://hh.ru/vacancy/75981474?from=vacancy_search_list&query=Data+scientist,
62,Middle Data Scientist (Северсталь Диджитал),,,,https://hh.ru/vacancy/76856444?from=vacancy_search_list&query=Data+scientist,
63,Data scientist \ Аналитик данных,,,,https://hh.ru/vacancy/76826677?from=vacancy_search_list&query=Data+scientist,https://ranepa.ru
64,Data Scientist,,,,https://hh.ru/vacancy/73377792?from=vacancy_search_list&query=Data+scientist,
65,Data Scientist (Платформа рекомендаций),,,,https://hh.ru/vacancy/75857475?from=vacancy_search_list&query=Data+scientist,
66,Data scientist (Персонализация),,,,https://hh.ru/vacancy/54829296?from=vacancy_search_list&query=Data+scientist,
67,Data Scientist (Middle+),,,,https://hh.ru/vacancy/76916638?from=vacancy_search_list&query=Data+scientist,
68,Data scientist/Analyst (Middle+/Senior) - Руководитель отдела аналитики,250000.0,400000.0,руб.,https://hh.ru/vacancy/73139848?from=vacancy_search_list&query=Data+scientist,http://reshans.ru
69,Data Scientist – Senior/Chief,,,,https://hh.ru/vacancy/76931699?from=vacancy_search_list&query=Data+scientist,
70,Data Scientist (Predict),,,,https://hh.ru/vacancy/73254140?from=vacancy_search_list&query=Data+scientist,
71,Data Scientist,,,,https://hh.ru/vacancy/71907512?from=vacancy_search_list&query=Data+scientist,
72,Data Scientist (Рекомендательные системы),,,,https://hh.ru/vacancy/68115103?from=vacancy_search_list&query=Data+scientist,
73,Python Developer,,,,https://hh.ru/vacancy/75837805?from=vacancy_search_list&query=Data+scientist,
74,Data Scientist,,,,https://hh.ru/vacancy/76433045?from=vacancy_search_list&query=Data+scientist,
75,Data Scientist,500000.0,, KZT,https://hh.ru/vacancy/76374667?from=vacancy_search_list&query=Data+scientist,
76,Middle Data Scientist,,,,https://hh.ru/vacancy/76672110?from=vacancy_search_list&query=Data+scientist,http://samokat.tech
77,Senior Data Scientist,,,,https://hh.ru/vacancy/75573623?from=vacancy_search_list&query=Data+scientist,http://thecovert.org
78,"DSP/ISP Researcher Scientist, Armenia",,,,https://hh.ru/vacancy/75917593?from=vacancy_search_list&query=Data+scientist,http://www.schneider-group.com
79,Data Scientist (Почта),,,,https://hh.ru/vacancy/75546387?from=vacancy_search_list&query=Data+scientist,
80,"Data Scientist (NLP, NER)",,,,https://hh.ru/vacancy/73382266?from=vacancy_search_list&query=Data+scientist,http://www.cspmz.ru
81,Data Scientist (Центр валидации моделей КИБ),,,,https://hh.ru/vacancy/76654236?from=vacancy_search_list&query=Data+scientist,
82,Data Scientist (Рекомендательная система),,,,https://hh.ru/vacancy/75691957?from=vacancy_search_list&query=Data+scientist,
83,Senior Data Scientist (в Германию),,,,https://hh.ru/vacancy/76661203?from=vacancy_search_list&query=Data+scientist,http://hrprime.ru
84,Исследователь/Research Scientist (Computer Science),,,,https://hh.ru/vacancy/76662887?from=vacancy_search_list&query=Data+scientist,
85,Data Analyst/Data Scientist (гео-аналитика),,,,https://hh.ru/vacancy/76418390?from=vacancy_search_list&query=Data+scientist,
86,Senior Data Scientist (разработка Скоринговых моделей),,,,https://hh.ru/vacancy/73751357?from=vacancy_search_list&query=Data+scientist,
87,Data Scientist ( Аналитик данных ),,,,https://hh.ru/vacancy/76537732?from=vacancy_search_list&query=Data+scientist,
88,"Senior Data Scientist (""Платформа экспериментов"")",,,,https://hh.ru/vacancy/75864257?from=vacancy_search_list&query=Data+scientist,
